,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
196307,  -0.8182,  -0.5053,  -0.4156,  -0.8456,   0.3838,   0.1095
196308,   4.8507,   4.3190,   5.2868,   5.5121,   4.9767,   5.7862
196309,  -1.0166,  -1.5581,  -2.6991,  -1.7189,  -0.7969,  -1.4500
196310,   1.3664,   1.5438,   1.6166,   0.8173,   1.4835,   6.1639
196311,  -1.2569,  -1.1257,  -2.3721,  -1.4554,   0.2963,  -1.3506
196312,  -0.1394,   0.4086,   0.3331,   2.4624,   2.4507,   2.0475
196401,   2.8722,   3.0797,   2.7524,   2.1901,   2.8800,   2.6457
196402,   2.7937,   1.4069,   2.6848,   2.1382,   1.3248,   2.1432
196403,   5.1411,   3.5357,   2.1695,   3.2714,   1.0861,   1.8208
196404,  -1.2537,  -1.1533,  -1.2668,   2.2184,   0.9950,  -0.3168
196405,   1.8995,   0.4646,   1.3641,   1.8294,   1.1620,   2.0391
196406,   1.3510,   2.2901,   2.1007,   1.8066,   2.5298,   0.4975
196407,   2.8436,   2.8022,   2.1545,   1.7431,   1.5851,   2.5063
196408,  -0.7235,  -0.7455,  -0.3184,  -1.1383,  -1.0721,  -1.2495
196409,   3.1163,   2.6632,   3.1806,   4.5036,   2.2048,   3.3529
196410,   1.4289,   2.1636,   2.6242,   1.9668,   1.2125,   0.0204
196411,  -0.6344,   0.0367,   0.7973,   0.6147,   0.3978,   0.4265
196412,  -0.6052,  -0.7084,  -0.3130,  -0.7559,   0.4462,   1.0382
196501,   6.2116,   5.9728,   6.8921,   4.2042,   1.8340,   5.3103
196502,   3.6435,   4.1618,   3.9168,   0.8151,   0.0299,   0.9342
196503,   1.1383,   1.0753,   0.6484,  -1.0352,  -1.3595,  -1.2677
196504,   4.7775,   4.3503,   4.2384,   3.0339,   2.6775,   4.3962
196505,  -0.3250,   0.2317,   0.3594,   0.6995,   0.1127,  -0.7901
196506,  -9.5741,  -8.9730,  -9.5791,  -5.7138,  -3.8223,  -5.2833
196507,   2.8191,   3.9298,   2.0736,   3.6490,   0.7899,   1.6520
196508,   4.9563,   4.6629,   6.1952,   1.7118,   1.9514,   4.2692
196509,   4.9090,   4.3859,   3.1507,   3.9653,   2.4799,   3.9485
196510,   6.8061,   5.7328,   6.8631,   2.2650,   1.1279,   4.5402
196511,   6.5577,   4.0808,   4.6394,   0.6655,  -1.0275,   0.5709
196512,   5.0539,   3.4544,   3.9607,   1.7300,   1.1129,   0.5371
196601,   7.6528,   5.3797,   4.0856,   3.2251,  -0.9782,   1.1506
196602,   4.8632,   2.1992,   2.9811,  -1.9921,  -1.9284,  -0.4522
196603,  -2.4865,  -1.5147,  -2.1880,  -3.2641,  -2.6194,  -0.9538
196604,   5.7784,   4.5208,   6.1361,   1.8370,   2.1722,   2.2666
196605, -11.4132,  -9.3222,  -9.4324,  -6.0374,  -4.2175,  -4.7387
196606,  -0.2114,   1.0944,   0.4475,  -1.2855,  -0.7882,  -1.6364
196607,  -1.8433,  -0.9652,  -2.2694,  -0.9155,  -1.2022,  -1.2947
196608, -10.7365,  -9.8296, -10.3921,  -7.4891,  -6.1374,  -8.0775
196609,  -1.6525,  -1.6499,  -1.6696,   1.9550,  -0.3337,  -1.6057
196610,  -0.8592,  -0.3405,  -2.5605,   7.4324,   6.6267,   2.1785
196611,   3.1849,   3.1783,   7.7525,   0.8615,  -1.3602,   4.5854
196612,   1.7895,   2.2689,   3.1343,  -0.0802,   0.8509,  -0.1388
196701,  17.4674,  14.8565,  18.8341,   7.9424,   6.5900,   8.4366
196702,   3.3179,   2.6646,   4.3221,  -0.7060,  -0.1925,   2.3823
196703,   5.5802,   6.6169,   6.3496,   3.7343,   3.7574,   4.9166
196704,   4.0060,   3.9483,   5.3627,   3.1013,   2.4865,   6.5005
196705,  -1.2194,  -1.3377,  -2.3053,  -3.0122,  -4.0087,  -5.3243
196706,   9.5819,   7.4997,   8.7481,   2.2670,   1.6886,   1.8284
196707,   9.1808,   7.6297,   7.7058,   2.6497,   5.0465,   5.1585
196708,  -0.7141,   0.4503,   0.3634,  -0.5339,  -0.7854,  -0.8906
196709,   6.1690,   4.7026,   5.9459,   3.7295,   1.7614,   4.4065
196710,  -2.2374,  -2.1947,  -2.8617,  -3.4701,  -4.0427,  -0.6987
196711,  -0.5291,   0.2073,   1.6460,   0.0164,   1.3129,   0.5351
196712,  10.2180,   6.7453,   8.6570,   2.3505,   3.4094,   2.2641
196801,   2.8673,  -0.1534,  -0.4060,  -0.9317,  -3.1299,  -6.8402
196802,  -6.0189,  -4.9371,  -6.3320,  -2.9616,  -2.7501,  -2.9286
196803,  -0.3052,  -1.9391,  -0.9386,  -0.2535,  -0.7331,   2.5098
196804,  16.0016,  11.6915,  16.8045,   6.2797,   7.3006,  10.8784
196805,   9.7745,   8.2333,   8.9319,   1.0689,   0.8434,   2.5301
196806,   0.2643,   1.2984,   0.6520,   2.5347,   2.2354,  -0.4767
196807,  -2.3978,  -3.0684,  -4.7351,  -0.3609,  -0.2575,  -4.2967
196808,   4.2007,   3.0054,   4.2368,   2.5001,   1.3553,   1.0646
196809,   8.3347,   5.7793,   7.5312,   6.3022,   3.6997,   3.1308
196810,   0.3298,   1.1838,   0.7465,   2.2930,   1.8370,  -0.7589
196811,   7.7320,   7.8563,   7.8609,   5.1430,   5.4646,   5.8828
196812,   1.5561,  -1.2641,  -0.7596,  -3.3160,  -3.7395,  -4.7292
196901,  -0.7597,  -0.8310,  -2.2233,  -0.3487,   0.2067,  -1.9875
196902, -10.6818,  -7.7037,  -8.4765,  -5.8370,  -4.6437,  -3.9072
196903,   3.8260,   2.4260,   2.5674,   4.8640,   2.7217,   3.2799
196904,   1.8784,   1.0863,   0.5868,   0.7705,   2.2668,   2.8761
