,data
0,1.83
1,2.41
2,1.06
3,-2.26
4,3.07
5,1.03
6,0.46
7,4.19
8,3.65
9,1.35
10,5.28
11,0.51
12,7.59
13,2.94
14,3.93
15,-4.54
16,6.52
17,1.28
18,-0.03
19,-0.38
20,10.32
21,2.7
22,4.36
23,-5.12
24,-0.29
25,7.23
26,0.42
27,2.38
28,13.46
29,3.78
30,11.7
31,-0.9
32,4.41
33,2.48
34,-3.68
35,15.73
36,10.97
37,11.92
38,-5.1
39,-22.65
40,-14.84
41,6.1
42,6.32
43,7.45
44,8.41
45,-0.84
46,-2.4
47,-14.85
48,2.78
49,2.0
50,-12.35
51,-10.87
52,-3.27
53,-7.09
54,4.99
55,13.43
56,-5.64
57,-8.48
58,-10.76
59,13.99
60,-7.25
61,2.02
62,-26.78
63,7.02
64,-9.77
65,-10.06
66,-6.74
67,9.78
68,-11.41
69,-16.23
70,-16.06
71,-5.41
72,24.4
73,33.84
74,-1.82
75,-11.87
76,-3.36
77,4.82
78,0.65
79,-11.55
80,-2.51
81,25.52
82,18.29
83,10.62
84,-6.94
85,7.59
86,-8.79
87,-8.08
88,8.12
89,-1.86
90,9.78
91,-1.24
92,1.99
93,-1.67
94,-5.18
95,1.87
96,-7.27
97,4.05
98,1.07
99,-1.33
100,4.01
101,1.16
102,0.21
103,0.68
104,-2.18
105,9.6
106,5.96
107,6.57
108,7.35
109,3.7
110,5.76
111,5.59
112,7.97
113,1.45
114,5.21
115,3.73
116,-1.91
117,-7.0
118,5.91
119,1.93
120,6.69
121,2.06
122,-0.4
123,5.39
124,4.63
125,1.01
126,3.66
127,-2.2
128,-3.3
129,-6.43
130,1.17
131,-0.01
132,6.32
133,-3.65
134,-8.04
135,-6.21
136,-4.05
137,-1.84
138,-2.45
139,0.69
140,-22.25
141,14.91
142,-0.87
143,18.89
144,3.41
145,-0.42
146,1.2
147,6.67
148,-1.81
149,2.81
150,-2.69
151,3.17
152,-8.06
153,0.43
154,6.68
155,-5.55
156,9.61
157,-5.86
158,6.5
159,1.31
160,-0.57
161,3.18
162,-1.85
163,0.37
164,1.93
165,-0.43
166,-16.86
167,6.48
168,3.12
169,1.06
170,2.67
171,1.94
172,-0.77
173,1.21
174,-2.28
175,-1.5
176,1.21
177,-7.32
178,0.09
179,7.22
180,0.48
181,0.93
182,-0.16
183,-5.66
184,-3.28
185,-5.13
186,-0.43
187,-1.35
188,-6.65
189,-5.81
190,7.78
191,0.61
192,3.3
193,1.72
194,3.38
195,6.22
196,2.36
197,2.88
198,6.5
199,6.3
200,3.7
201,2.75
202,5.35
203,2.34
204,-3.54
205,0.72
206,3.13
207,-1.19
208,-3.85
209,5.27
210,0.75
