,data
0,1.2077
1,2.3618
2,-2.654
3,-2.8069
4,3.1033
5,3.1108
6,2.9853
7,1.5108
8,-2.4897
9,-2.9654
10,7.2964
11,3.2711
12,5.6673
13,0.9771
14,2.7947
15,2.3056
16,14.1996
17,4.9187
18,1.3515
19,-5.778
20,4.7209
21,0.3536
22,2.0846
23,-5.7393
24,1.0836
25,6.8023
26,3.1124
27,4.9618
28,6.6986
29,-2.0855
30,3.051
31,-3.2503
32,-4.076
33,0.0014
34,-11.2609
35,3.6693
36,-2.2962
37,-1.2892
38,-7.5726
39,-19.6051
40,-19.3908
41,-4.7068
42,7.8448
43,-1.9117
44,6.2672
45,-8.8133
46,-5.8346
47,-23.7959
48,7.8436
49,-3.7641
50,-14.4077
51,-6.125
52,-6.5242
53,-14.2965
54,13.232
55,9.7005
56,-1.5484
57,-16.6512
58,-7.6612
59,9.5076
60,-5.2584
61,4.7199
62,-26.5943
63,7.0723
64,-12.8176
65,-9.0769
66,-0.3044
67,-5.4119
68,-4.8922
69,-19.9193
70,-11.9878
71,-8.6164
72,37.5774
73,34.3849
74,-0.7174
75,-12.4439
76,-3.9727
77,-18.7311
78,7.544
79,-26.774
80,14.2512
81,28.2345
82,76.4962
83,23.5274
84,-8.6449
85,7.7672
86,-6.2063
87,-11.9124
88,3.2373
89,8.9962
90,24.76
91,0.4117
92,2.053
93,7.3585
94,-8.5865
95,3.906
96,-20.152
97,14.7217
98,-1.9572
99,-6.0012
100,24.9802
101,5.3549
102,-8.9719
103,-1.7326
104,-11.1204
105,9.6309
106,-2.1878
107,8.1656
108,12.0979
109,8.6311
110,10.6087
111,9.2728
112,5.9586
113,8.7505
114,16.5357
115,1.7792
116,-0.4437
117,-19.395
118,5.0715
119,-2.2035
120,10.7341
121,-1.2681
122,4.3685
123,1.625
124,13.0792
125,2.8002
126,11.2592
127,-2.2051
128,-2.9677
129,-9.1163
130,-0.4804
131,-8.1236
132,12.0448
133,-7.6675
134,-24.0171
135,-10.9121
136,-10.9079
137,-14.2665
138,4.24
139,11.7083
140,-30.7741
141,20.6846
142,-11.5069
143,35.1501
144,9.4139
145,-2.199
146,1.3939
147,14.1883
148,-6.6896
149,12.0534
150,-3.5856
151,-0.1983
152,-20.3734
153,-1.4235
154,6.8106
155,-9.8658
156,16.7799
157,-15.0539
158,40.6874
159,-2.186
160,-6.2031
161,5.5368
162,-3.2871
163,1.4929
164,2.9241
165,1.7971
166,-22.8985
167,1.2162
168,3.9107
169,3.582
170,7.4036
171,6.7259
172,0.8645
173,-2.2584
174,-4.5028
175,0.3978
176,-0.2064
177,-7.4363
178,3.7258
179,2.1273
180,13.5301
181,-0.0829
182,-2.592
183,-4.9052
184,-2.1291
185,-8.1284
