,data
0,2.73
1,2.33
2,-0.44
3,-2.42
4,2.5
5,2.76
6,0.15
7,4.0
8,-1.43
9,-1.13
10,5.67
11,-3.03
12,7.51
13,1.97
14,4.9
15,-4.7
16,7.7
17,2.2
18,0.18
19,-1.11
20,6.96
21,7.69
22,0.1
23,-4.35
24,1.03
25,6.28
26,4.44
27,2.39
28,16.03
29,0.51
30,6.04
31,1.35
32,1.09
33,2.44
34,-5.66
35,12.44
36,4.56
37,9.73
38,-3.94
39,-20.47
40,-12.35
41,2.35
42,5.04
43,2.23
44,10.15
45,-1.07
46,-2.14
47,-16.95
48,4.64
49,-0.43
50,-13.57
51,-9.06
52,-3.75
53,-7.8
54,4.5
55,12.07
56,-7.06
57,-12.3
58,-13.86
59,15.12
60,-7.23
61,1.32
62,-30.86
63,9.38
64,-7.29
65,-15.53
66,-2.19
67,6.96
68,-9.7
69,-18.19
70,-17.82
71,1.25
72,35.86
73,37.21
74,-5.19
75,-11.22
76,-6.63
77,4.23
78,-0.93
79,-17.32
80,1.84
81,43.53
82,22.17
83,13.15
84,-12.04
85,13.05
86,-9.93
87,-6.99
88,10.72
89,2.24
90,11.77
91,-2.99
92,-1.36
93,-2.69
94,-8.07
95,3.31
96,-11.92
97,6.26
98,-1.11
99,-2.81
100,9.14
101,0.37
102,-3.07
103,-3.45
104,-2.72
105,11.11
106,3.79
107,5.35
108,7.27
109,2.3
110,1.24
111,9.02
112,3.54
113,6.81
114,9.04
115,2.52
116,2.0
117,-9.27
118,4.6
119,1.73
120,7.39
121,0.64
122,1.32
123,8.72
124,3.27
125,3.43
126,3.75
127,1.54
128,1.08
129,-7.9
130,0.0
131,-3.49
132,9.9
133,-5.6
134,-15.74
135,-11.0
136,-8.7
137,-3.05
138,-1.2
139,8.38
140,-24.96
141,14.6
142,-5.6
143,27.74
144,6.26
145,-4.32
146,1.39
147,8.37
148,-1.77
149,5.22
150,-7.38
151,2.63
152,-13.53
153,-0.7
154,6.16
155,-5.94
156,10.44
157,-6.02
158,23.43
159,-2.35
160,-5.48
161,2.9
162,-3.49
163,1.79
164,1.6
165,0.36
166,-22.45
167,6.22
168,3.47
169,1.77
170,1.92
171,4.52
172,-2.47
173,1.5
174,-5.44
175,-1.64
176,0.96
177,-4.46
178,3.24
179,5.91
180,7.93
181,-1.52
182,-2.32
183,-4.5
184,-0.61
185,-3.35
186,-1.53
187,-3.32
188,-6.83
189,-4.23
190,3.59
191,3.6
192,3.36
193,1.89
194,3.21
195,8.2
196,-1.36
197,5.82
198,7.47
199,6.24
200,6.17
201,-0.23
202,5.38
203,1.28
204,-5.01
205,0.92
206,2.4
207,-1.07
208,-6.79
209,6.44
210,1.3
