,data
0,5.64
1,0.55
2,1.74
3,-3.2
4,8.46
5,1.83
6,4.17
7,5.2
8,4.44
9,3.02
10,0.25
11,-1.93
12,8.72
13,0.97
14,6.83
15,-3.17
16,8.24
17,13.43
18,-1.66
19,-7.59
20,7.37
21,-0.57
22,1.16
23,-3.56
24,-1.24
25,8.18
26,3.01
27,3.42
28,15.11
29,1.96
30,8.48
31,8.43
32,4.1
33,-5.86
34,-10.99
35,2.42
36,-2.36
37,8.92
38,-4.79
39,-13.02
40,-15.0
41,-1.7
42,6.09
43,-0.94
44,1.75
45,-13.56
46,5.4
47,-7.97
48,3.64
49,-13.14
50,-9.27
51,-10.59
52,4.53
53,-8.32
54,6.96
55,14.16
56,-6.71
57,-12.84
58,-8.6
59,6.98
60,-8.12
61,2.57
62,-31.79
63,18.71
64,-15.32
65,-12.85
66,1.41
67,-1.94
68,-6.14
69,-14.44
70,-10.87
71,-10.19
72,46.1
73,29.57
74,-5.66
75,-7.14
76,2.35
77,-1.58
78,-0.17
79,-8.15
80,8.75
81,26.39
82,32.7
83,12.6
84,-8.78
85,17.14
86,5.58
87,-4.59
88,0.05
89,-1.18
90,2.28
91,2.87
92,4.66
93,-2.92
94,1.13
95,3.63
96,-10.56
97,9.91
98,-3.6
99,-6.52
100,-1.0
101,2.27
102,-5.47
103,-1.15
104,3.89
105,9.11
106,3.91
107,-0.16
108,1.38
109,4.77
110,0.37
111,-1.07
112,9.98
113,7.45
114,10.06
115,2.91
116,-4.12
117,-5.52
118,3.65
119,-2.87
120,5.68
121,2.49
122,-2.99
123,23.25
124,2.98
125,1.58
126,0.05
127,11.82
128,6.13
129,-15.5
130,-1.39
131,-5.36
132,9.94
133,-3.47
134,-17.84
135,2.14
136,-1.7
137,-1.17
138,8.14
139,-2.57
140,-24.06
141,16.34
142,-3.14
143,18.99
144,9.61
145,-1.59
146,-1.92
147,4.94
148,-2.02
149,1.72
150,-4.88
151,-1.8
152,-9.46
153,0.0
154,2.23
155,-4.64
156,10.99
157,-6.1
158,13.63
159,2.23
160,-3.56
161,-0.5
162,-1.89
163,0.23
164,1.75
165,-1.25
166,-20.33
167,0.66
168,0.31
169,1.11
170,5.95
171,4.39
172,7.02
173,0.11
174,-2.01
175,-1.12
176,1.64
177,-6.2
178,3.03
179,6.0
180,7.59
181,0.1
182,-3.33
183,-7.48
184,0.64
185,-2.4
186,6.08
187,-2.09
188,-11.19
189,-4.5
190,5.1
191,3.93
192,4.87
193,-0.19
194,1.13
195,9.86
196,-2.11
197,5.43
198,8.5
199,4.78
200,8.76
201,-1.53
202,1.53
203,-3.87
204,-2.6
205,1.49
206,0.84
207,-3.47
208,-4.29
209,3.62
210,3.49
211,-0.89
212,0.06
213,-2.79
214,2.37
215,10.16
216,-2.4
217,-1.11
218,0.18
219,-0.86
220,5.0
221,3.71
222,7.61
223,6.17
224,-5.01
225,6.17
226,2.24
227,2.05
228,-4.32
229,2.32
230,5.69
231,6.83
232,12.46
233,-3.25
234,7.36
235,-4.24
236,-0.6
237,4.26
238,3.17
239,-5.41
240,-5.63
241,-6.79
242,-8.02
243,1.18
244,1.42
245,-0.2
246,3.26
247,1.92
248,-2.84
249,-4.62
250,-1.44
251,1.08
252,5.34
253,-2.02
254,-1.9
255,0.78
256,1.83
257,-4.78
258,1.65
259,-1.9
260,8.1
261,4.74
262,4.19
263,-0.71
264,-3.26
265,-0.22
266,-2.58
267,4.38
268,-6.78
269,-0.08
270,1.63
271,0.95
272,4.21
273,1.09
274,-1.23
275,-2.2
276,3.3
277,2.45
278,1.69
279,3.72
280,-0.06
281,1.67
282,4.19
283,-0.51
284,-2.24
285,4.13
286,2.68
287,-6.21
288,3.34
289,8.34
290,9.38
291,-1.96
292,7.47
293,8.53
294,6.13
295,0.19
296,-4.17
297,6.14
298,-3.09
299,-4.69
300,6.79
301,9.76
302,5.99
303,-5.12
304,2.06
305,-1.74
306,4.78
307,-5.04
308,2.0
309,-5.79
310,2.43
311,4.24
312,1.55
313,0.3
314,-2.48
315,-4.98
316,6.13
317,2.12
318,-0.26
319,3.29
320,-3.95
321,-2.01
322,-1.86
323,-3.99
324,1.16
325,-6.74
326,-0.72
327,3.36
328,-0.57
329,-3.53
330,8.19
331,4.3
332,3.42
333,3.08
334,7.57
335,-0.78
336,5.43
337,-4.27
338,8.72
339,-1.14
340,11.37
341,3.75
342,3.29
343,-0.04
344,8.72
345,-0.09
346,5.97
347,0.56
348,-5.51
349,3.47
350,-2.12
351,-5.52
352,8.2
353,-2.22
354,-2.67
355,4.37
356,2.74
357,-3.43
358,-7.07
359,0.55
360,0.97
361,3.69
362,-4.84
363,-0.86
364,1.13
365,2.37
366,0.76
367,1.18
368,5.04
369,-0.7
370,-0.62
371,0.04
372,0.9
373,-5.95
374,-10.02
375,-6.71
376,-3.9
377,-7.49
378,8.73
379,-3.31
380,8.58
381,0.97
382,4.52
383,3.59
384,3.83
385,-2.23
386,0.95
387,3.08
388,1.71
389,4.15
390,4.73
391,-1.74
392,3.9
393,-6.88
394,-1.31
395,-4.03
396,1.08
397,-1.76
398,-4.4
399,-1.35
400,0.81
401,4.74
402,-3.48
403,1.86
404,-2.64
405,-0.62
406,-1.12
407,-1.17
408,2.55
409,7.11
410,-2.05
411,3.41
412,7.55
413,6.1
414,6.14
415,-1.58
416,2.63
417,1.14
418,8.64
419,-5.76
420,2.76
421,4.71
422,-6.11
423,-2.04
424,3.71
425,-2.88
426,-1.34
427,-3.11
428,-1.29
429,-7.51
430,-4.4
431,-4.08
432,3.26
433,3.51
434,-5.95
435,0.39
436,8.97
437,-2.74
438,10.66
439,-1.76
440,2.73
441,4.89
442,2.29
443,-2.35
444,-4.1
445,4.52
446,-0.39
447,4.82
448,3.11
449,6.71
450,-0.07
451,6.72
452,5.6
453,16.69
454,1.32
455,-0.96
456,2.09
457,-0.16
458,9.25
459,0.63
460,-0.76
461,-3.43
462,12.0
463,5.42
464,-1.18
465,5.4
466,-1.51
467,-10.74
468,7.67
469,3.66
470,1.88
471,4.96
472,3.14
473,10.33
474,11.94
475,10.83
476,-4.65
477,3.39
478,-11.9
479,0.57
480,-2.09
481,-12.34
482,-3.22
483,0.35
484,10.67
485,1.78
486,13.7
487,-1.81
488,4.98
489,6.75
490,-0.49
491,5.92
492,15.37
493,-3.11
494,6.83
495,-7.34
496,0.39
497,4.54
498,-4.77
499,-4.45
500,1.38
501,6.52
502,2.03
503,0.45
504,-6.17
505,-2.82
506,4.78
507,-0.73
508,9.77
509,2.13
510,-4.03
511,-7.57
512,-2.3
513,0.35
514,1.17
515,-13.4
516,-6.31
517,3.74
518,1.11
519,4.68
520,0.88
521,-2.45
522,-2.47
523,7.58
524,-1.53
525,-13.19
526,-2.61
527,-3.0
528,0.46
529,3.05
530,8.87
531,-6.64
532,-1.03
533,8.28
534,6.34
535,2.27
536,6.26
537,3.68
538,-1.44
539,-1.09
540,-5.65
541,-2.92
542,-2.53
543,-12.21
544,-5.29
545,13.75
546,5.88
547,7.55
548,0.53
549,0.39
550,2.58
551,-0.47
552,-5.65
553,4.56
554,-1.93
555,0.41
556,4.61
557,2.91
558,2.11
559,5.06
560,-1.59
561,-3.06
562,-3.79
563,3.33
564,9.55
565,2.93
566,12.19
567,6.62
568,-7.36
569,5.24
570,2.98
571,2.3
572,-9.32
573,-6.27
574,-7.73
575,1.83
576,0.86
577,-11.55
578,-7.23
579,17.38
580,-1.55
581,-4.94
582,14.58
583,4.94
584,9.41
585,12.7
586,5.76
587,4.7
588,-3.55
589,-7.68
590,-2.77
591,-2.68
592,-0.98
593,0.87
594,14.33
595,0.95
596,6.94
597,1.12
598,0.32
599,7.24
600,-3.37
601,-1.49
602,0.65
603,-1.96
604,0.19
605,6.73
606,-3.32
607,-4.94
608,2.6
609,0.87
610,-7.75
611,-2.04
612,-6.47
613,-0.75
614,-4.02
615,-7.8
616,4.77
617,1.97
618,-7.31
619,-1.29
620,5.49
621,4.91
622,3.35
623,-5.22
624,7.89
625,7.42
626,3.37
627,-11.07
628,2.85
629,3.92
630,11.18
631,-0.18
632,9.67
633,-2.36
634,1.51
635,10.66
636,4.03
637,7.01
638,4.74
639,-11.26
640,9.63
641,14.23
642,14.84
643,3.9
644,-19.25
645,-0.48
646,6.54
647,6.58
648,8.81
649,4.81
650,8.76
651,1.07
652,10.38
653,-3.99
654,-7.09
655,-2.83
656,17.6
657,-0.74
658,-0.89
659,3.76
660,4.62
661,-1.61
662,-16.16
663,1.8
664,4.32
665,-5.9
666,-16.17
667,-7.84
668,-14.2
669,0.46
670,-5.7
671,-7.14
672,-11.29
673,13.43
674,-3.12
675,10.35
676,-1.02
677,6.1
678,12.04
679,-5.97
680,2.65
681,8.39
682,9.14
683,1.02
684,0.21
685,0.79
686,-4.47
687,-10.68
688,5.98
689,-1.92
690,1.75
691,-0.21
692,7.28
693,-3.6
694,-5.94
695,-10.29
696,-12.96
697,20.98
698,-4.66
699,-8.05
700,2.15
701,-3.95
702,13.45
703,-1.1
704,1.78
705,-0.56
706,-1.49
707,-3.73
708,8.49
709,-2.12
710,-10.2
711,-2.62
712,7.13
713,-2.16
714,-0.42
715,-1.8
716,6.37
717,-2.86
718,4.35
719,-3.77
720,-9.31
721,16.01
722,2.14
723,-0.53
724,0.79
725,-0.25
726,17.54
727,10.68
728,11.82
729,3.76
730,-1.31
731,0.46
732,15.24
733,-6.28
734,4.6
735,-32.89
736,-1.24
737,9.62
738,-3.22
739,7.86
740,12.29
741,2.53
742,-1.97
743,2.42
744,-1.57
745,-1.03
746,3.19
747,2.13
748,-4.32
749,5.27
750,5.95
751,-2.05
752,1.06
753,4.74
754,-0.51
755,-2.87
756,1.86
757,8.99
758,-1.24
759,-6.84
760,3.1
761,2.96
762,-3.94
763,4.91
764,4.52
765,-1.8
766,3.42
767,-3.0
768,7.14
769,-8.48
770,-3.92
771,-15.43
772,5.78
773,0.31
774,8.46
775,11.79
776,-0.08
777,3.46
778,-0.67
779,4.19
780,6.37
781,-0.9
782,7.36
783,-1.01
784,-4.31
785,0.75
786,10.34
787,5.9
788,-0.16
789,-4.04
790,7.46
791,7.8
792,-4.34
793,-2.46
794,1.94
795,1.33
796,-0.27
797,4.57
798,-1.8
799,3.3
800,8.1
801,-7.88
802,0.54
803,0.63
804,0.19
805,-5.28
806,-7.59
807,4.47
808,-0.92
809,16.89
810,7.64
811,-2.47
812,-1.79
813,-5.27
814,2.96
815,-5.1
816,3.33
817,3.32
818,4.38
819,-7.1
820,-8.09
821,3.51
822,-1.67
823,3.79
824,4.05
825,-0.89
826,-2.3
827,1.85
828,13.74
829,-4.82
830,3.5
831,-6.72
832,8.53
833,1.17
834,4.18
835,4.9
836,-0.59
837,1.2
838,0.57
839,-3.66
840,-5.91
841,0.67
842,2.48
843,0.67
844,4.89
845,-3.97
846,0.19
847,10.88
848,-5.28
849,-1.32
850,5.74
851,4.82
852,0.22
853,-0.82
854,1.58
855,-8.42
856,-3.6
857,-8.24
858,-1.41
859,2.36
860,13.59
861,1.56
862,-5.75
863,-6.63
864,2.13
865,-15.82
866,5.67
867,9.11
868,4.01
869,0.74
870,-3.51
871,-0.47
872,2.67
873,20.5
874,-5.25
875,9.31
876,-9.48
877,-2.01
878,-2.22
879,0.28
880,0.31
881,11.13
882,-1.21
883,-7.61
884,6.63
885,-7.8
886,0.99
887,-6.53
888,-0.14
889,5.54
890,-5.23
891,2.21
892,0.04
893,6.68
894,2.83
895,-0.36
896,-1.3
897,3.82
898,11.13
899,-6.53
900,-8.68
901,-0.86
902,-11.25
903,-3.32
904,12.32
905,5.99
906,-2.61
907,1.52
908,5.41
909,-1.26
910,4.58
911,-5.65
912,-10.01
913,-0.8
914,-10.41
915,-7.09
916,12.78
917,1.1
918,-0.25
919,-6.78
920,-1.74
921,8.38
922,12.63
923,3.76
924,9.8
925,7.22
926,4.83
927,16.79
