,data
0,0.21
1,0.1
2,0.01
3,-0.45
4,0.15
5,-0.04
6,0.29
7,0.35
8,0.14
9,-0.06
10,-0.22
11,0.37
12,0.5
13,0.0
14,-0.81
15,-0.38
16,-0.88
17,0.05
18,0.34
19,-0.16
20,0.14
21,1.04
22,-0.28
23,-0.03
24,0.16
25,0.55
26,1.18
27,-0.4
28,0.07
29,0.94
30,0.75
31,0.12
32,-1.12
33,-0.4
34,0.48
35,0.09
36,0.63
37,0.74
38,-0.49
39,0.52
40,-0.42
41,-0.73
42,0.64
43,0.0
44,-0.68
45,-0.5
46,0.32
47,0.33
48,0.58
49,0.09
50,0.17
51,0.85
52,-0.08
53,0.08
54,0.16
55,-0.46
56,-0.1
57,-0.88
58,-0.27
59,0.19
60,0.17
61,0.19
62,-0.3
63,-1.52
64,0.8
65,-0.71
66,0.1
67,-0.08
68,-0.23
69,0.74
70,0.48
71,-0.24
72,-0.02
73,-0.11
74,0.12
75,0.37
76,-0.27
77,-1.44
78,-0.9
79,-1.66
80,-0.55
81,0.4
82,-0.63
83,-0.53
84,0.22
85,0.81
86,-1.96
87,-0.69
88,0.38
89,-0.61
90,-1.17
91,1.81
92,-0.04
93,1.24
94,0.06
95,0.45
96,0.89
97,0.21
98,-0.1
99,-0.35
100,0.22
101,0.36
102,0.64
103,0.33
104,-0.08
105,0.61
106,0.45
107,-0.41
108,0.57
109,0.31
110,-0.09
111,0.63
112,0.05
113,-0.77
114,-0.42
115,-0.55
116,0.57
117,0.73
118,0.42
119,0.01
120,0.54
121,-0.35
122,-0.63
123,-0.07
124,0.3
125,0.75
126,0.74
127,0.19
128,0.2
129,0.04
130,0.12
131,0.33
132,0.5
133,-0.42
134,1.29
135,0.15
136,-0.04
137,-0.87
138,0.55
139,0.08
140,-0.48
141,-0.2
142,-0.24
143,0.24
144,0.45
145,-0.4
146,-1.07
147,0.16
148,-0.05
149,0.91
150,-0.75
151,0.13
152,0.37
153,-0.14
154,0.23
155,0.91
156,0.39
157,-0.06
158,-0.28
159,0.04
160,-0.29
161,0.45
162,0.1
163,-0.62
164,0.45
165,-0.17
166,1.09
167,0.31
168,0.66
169,-2.24
170,0.34
171,-0.15
172,0.47
173,0.58
174,0.59
175,1.14
176,0.61
177,0.49
178,0.94
179,0.17
180,0.89
181,1.05
182,-1.44
183,0.22
184,-0.85
185,0.32
186,-0.09
187,0.07
188,0.66
