,data
0,-0.4156
1,5.2868
2,-2.6991
3,1.6166
4,-2.3721
5,0.3331
6,2.7524
7,2.6848
8,2.1695
9,-1.2668
10,1.3641
11,2.1007
12,2.1545
13,-0.3184
14,3.1806
15,2.6242
16,0.7973
17,-0.313
18,6.8921
19,3.9168
20,0.6484
21,4.2384
22,0.3594
23,-9.5791
24,2.0736
25,6.1952
26,3.1507
27,6.8631
28,4.6394
29,3.9607
30,4.0856
31,2.9811
32,-2.188
33,6.1361
34,-9.4324
35,0.4475
36,-2.2694
37,-10.3921
38,-1.6696
39,-2.5605
40,7.7525
41,3.1343
42,18.8341
43,4.3221
44,6.3496
45,5.3627
46,-2.3053
47,8.7481
48,7.7058
49,0.3634
50,5.9459
51,-2.8617
52,1.646
53,8.657
54,-0.406
55,-6.332
56,-0.9386
57,16.8045
58,8.9319
59,0.652
60,-4.7351
61,4.2368
62,7.5312
63,0.7465
64,7.8609
65,-0.7596
66,-2.2233
67,-8.4765
68,2.5674
69,0.5868
70,-0.5857
71,-10.7659
72,-10.1704
73,7.496
74,-0.2506
75,9.4069
76,-5.041
77,-3.1498
78,-6.471
79,3.1004
80,-4.0219
81,-17.5565
82,-10.0646
83,-6.812
84,8.4276
85,7.006
86,13.2235
87,-5.3556
88,2.4065
89,9.0891
90,10.4356
91,4.7155
92,7.792
93,2.6726
94,-4.0284
95,0.5651
96,-5.6135
97,4.7261
98,0.8851
99,-5.483
100,-2.4173
101,12.5824
102,7.5333
103,4.1362
104,1.0252
105,0.6018
106,-1.3933
107,-3.0412
108,-4.9184
109,0.6256
110,-2.3436
111,-1.8449
112,5.6288
113,-1.298
114,-5.7878
115,-9.9586
116,-3.2062
117,-8.9034
118,-8.4174
119,-4.9732
120,15.8388
121,-4.7382
122,10.2327
123,-2.595
124,-21.8171
125,-2.1575
126,8.666
127,0.3263
128,0.4003
129,-4.8002
130,-6.3889
131,-2.6149
132,-5.8913
133,-8.4271
134,-10.4298
135,10.243
136,-5.8702
137,-7.5318
138,27.7539
139,3.7752
140,9.8667
141,4.9277
142,7.5645
143,6.4909
144,-2.5163
145,-5.0588
146,-3.7132
147,2.9781
148,2.406
149,-1.0018
150,18.1914
151,8.349
152,1.5718
153,-1.3851
154,-1.5511
155,3.6475
156,-0.7881
157,-2.5253
