jugador,inmigrante,gol,resultado
Stijn Stijnen,1.0,0.0,GANO
Butina Tomislav,0.0,0.0,GANO
Shay Given,1.0,0.0,EMPATO
Wayne Hennessey,1.0,0.0,GANO
Lloris,0.0,0.0,EMPATO
Contofalsky Kamil,0.0,0.0,EMPATO
Hasagic Kenan,0.0,0.0,GANO
Craig Gordon,1.0,0.0,EMPATO
Vedran Runje,1.0,0.0,GANO
Aldo Junior Simoncini,1.0,0.0,PERDIO
Jehle Peter,1.0,0.0,EMPATO
Peter Jehle,1.0,0.0,PERDIO
Van Der Sar Edwin,0.0,0.0,GANO
Blazek Jaromir,0.0,0.0,GANO
Jon Knudsen,1.0,0.0,PERDIO
Jon Knudsen,1.0,0.0,GANO
Robinson Paul,0.0,0.0,GANO
Bogdan Lobont,0.0,0.0,EMPATO
Konig Miroslav,1.0,0.0,GANO
Petar Milosevski,1.0,0.0,GANO
Oberweis Marc,1.0,0.0,PERDIO
Andriy Pyatov,0.0,0.0,GANO
Apoula Bete,0.0,0.0,EMPATO
Ricardo,1.0,0.0,GANO
Gordon Craig,1.0,0.0,GANO
Haber Justin,0.0,0.0,EMPATO
Akinfeev Igor,0.0,0.0,GANO
Vukasin Poleksic,1.0,0.0,GANO
Wayne Hennessey,1.0,0.0,PERDIO
Demirel Volkan,1.0,0.0,EMPATO
Cech Petr,1.0,0.0,GANO
Zuberbuehler Pascal,0.0,0.0,EMPATO
Kjartan Sturluson,0.0,0.0,PERDIO
Kolinko Alexandrs,0.0,0.0,EMPATO
Andreas Isaksson,1.0,0.0,GANO
Goran Brasnic,1.0,0.0,GANO
Fabianski,1.0,0.0,GANO
Buffon Gianluigi,1.0,0.0,GANO
Jn Mucha,0.0,0.0,EMPATO
Casillas Iker,0.0,0.0,GANO
Igor Akinfeev,0.0,0.0,GANO
Isaksson Andreas,1.0,0.0,GANO
Shovkovskyi Oleksandr   Gk,0.0,0.0,GANO
Sorensen Thomas,1.0,0.0,GANO
Sergei Pareiko,0.0,0.0,GANO
Myhre Thomas,1.0,0.0,GANO
Carroll Roy,1.0,0.0,EMPATO
Arason Arni,0.0,0.0,PERDIO
Maik Taylor,1.0,0.0,GANO
Eduardo,0.0,0.0,GANO
Berezovski Roman,0.0,0.0,PERDIO
Kiraly Gabor,0.0,0.0,GANO
Yuriy Zhevnov,0.0,0.0,GANO
Shay Given,1.0,0.0,GANO
Shovkovskyi Oleksandr,0.0,0.0,PERDIO
Gunnleifur Gunnleifsson,0.0,0.0,EMPATO
David Loriya,1.0,0.0,PERDIO
Loriya David,1.0,0.0,PERDIO
Novikov Yuriy,1.0,0.0,PERDIO
Handanovic Samir,0.0,0.0,EMPATO
Coyne Danny,1.0,0.0,PERDIO
Karchemarskas Zhidrunas,1.0,0.0,GANO
Cech Petr   Gk,0.0,0.0,GANO
Berezovski Roman,0.0,0.0,GANO
Lukasz Fabianski,0.0,0.0,EMPATO
Antonis Giorgallidi,0.0,0.0,PERDIO
Giorgi Lomaia,0.0,0.0,EMPATO
Zhidrunas Karchemarskas,1.0,0.0,GANO
Stanislav Namasco,0.0,0.0,PERDIO
Mikkelsen Jakup,1.0,0.0,PERDIO
Lobont Bogdan,0.0,0.0,GANO
Maarten Stekelenburg,0.0,0.0,GANO
Quim,0.0,0.0,PERDIO
David James,0.0,0.0,GANO
S Handanovic,1.0,0.0,EMPATO
Edwin Van Der Sar,0.0,0.0,GANO
Vladimir Disljenkovic,1.0,0.0,GANO
Nikopolidis Antonios,0.0,0.0,GANO
Hmaruc Evgheni,0.0,0.0,PERDIO
Gasperoni Federico,1.0,0.0,PERDIO
Given Shay,1.0,0.0,GANO
Contofalsky Kamil,0.0,0.0,GANO
Van Der Sar Edwin,0.0,0.0,EMPATO
Iker Casillas,0.0,0.0,GANO
