,Date,Country,Finalresult,TeamPlayer1,foreign_1,goal_1,TeamPlayer2,foreign_2,goal_2,TeamPlayer3,foreign_3,goal_3,TeamPlayer4,foreign_4,goal_4,TeamPlayer5,foreign_5,goal_5,TeamPlayer6,foreign_6,goal_6,TeamPlayer7,foreign_7,goal_7,TeamPlayer8,foreign_8,goal_8,TeamPlayer9,foreign_9,goal_9,TeamPlayer10,foreign_10,goal_10,TeamPlayer11,foreign_11,goal_11,TeamPlayer12,foreign_12,goal_12,TeamPlayer13,foreign_13,goal_13,TeamPlayer14,foreign_14,goal_14,marcador,winners,losers,tie
0,2012-06-17,Netherlands,2-1,Maarten Stekelenburg,0.0,0.0,Gregory Van Der Wiel,1.0,0.0,Ron Vlaar,0.0,0.0,Joris Mathijsen,0.0,0.0,Jetro Willems,0.0,0.0,Rafael Van Der Vaart C,0.0,1.0,Nigel De Jong,1.0,0.0,Ibrahim Afellay,1.0,0.0,Arjen Robben,0.0,0.0,Robin Van Persie,1.0,0.0,Wesley Sneijder,0.0,0.0,Klaasjan Huntelaar,0.0,0.0,,,,,,,PERDIO,0.0,1.0,0.0
1,2012-06-17,Portugal,2-1,Rui Patrcio,0.0,0.0,Joo Pereira,1.0,0.0,Kpler Ferreira Pepe,1.0,0.0,Bruno Alves,0.0,0.0,Fbio Coentro,0.0,0.0,Joo Moutinho,0.0,0.0,Miguel Veloso,1.0,0.0,Raul Meireles,0.0,0.0,Custdio De Castro,1.0,0.0,Lus Da Cunha Nani,0.0,0.0,Rolando Da Fonseca,1.0,0.0,Hlder Postiga,0.0,0.0,Nlson Oliveira,0.0,0.0,Cristiano Ronaldo Aveiro C,1.0,1.0,GANO,1.0,0.0,0.0
2,2012-06-17,Germany,1-2,Manuel Neuer,0.0,0.0,Lars Bender,1.0,0.0,Mats Hummels,0.0,0.0,Holger Badstuber,0.0,0.0,Philipp Lahm C,0.0,0.0,Bastian Schweinsteiger,0.0,0.0,Sami Khedira,1.0,0.0,Thomas Mller,0.0,0.0,Toni Kroos,0.0,0.0,Mesut Zil,0.0,0.0,Lukas Podolski,1.0,1.0,Andr Schrrle,0.0,0.0,Mario Gmez,1.0,0.0,Miroslav Klose,0.0,0.0,GANO,1.0,0.0,0.0
3,2012-06-17,Denmark,1-2,Stephan Andersen,0.0,0.0,Lars Jacobsen,0.0,0.0,Simon Kjr,0.0,0.0,Daniel Agger C,0.0,0.0,Simon Poulsen,0.0,0.0,William Kvist,1.0,0.0,Jakob Poulsen,0.0,0.0,Tobias Mikkelsen,0.0,0.0,Christian Eriksen,0.0,0.0,Niki Zimling,0.0,0.0,Christian Poulsen,0.0,0.0,Michael Krohndehli,1.0,1.0,Nicklas Bendtner,0.0,0.0,,,,PERDIO,0.0,1.0,0.0
4,2012-06-16,Poland,1-0,Przemysaw Tyto,0.0,0.0,Ukasz Piszczek,0.0,0.0,Marcin Wasilewski,0.0,0.0,Damien Perquis,1.0,0.0,Sebastian Boenisch,1.0,0.0,Dariusz Dudka,0.0,0.0,Jakub Baszczykowski C,0.0,0.0,Eugen Polanski,1.0,0.0,Kamil Grosicki,0.0,0.0,Rafa Murawski,0.0,0.0,Ludovic Obraniak,0.0,0.0,Adrian Mierzejewski,0.0,0.0,Pawe Broek,0.0,0.0,Robert Lewandowski,0.0,0.0,PERDIO,0.0,1.0,0.0
5,2012-06-16,Czech Republic,1-0,Petr Ech,0.0,0.0,Theodor Gebre Selassie,1.0,0.0,Tom Sivok,0.0,0.0,Michal Kadlec,0.0,0.0,David Limbersk,0.0,0.0,Tom Hbschman,0.0,0.0,Jaroslav Plail,0.0,0.0,Petr Jirek,0.0,1.0,Daniel Kol,0.0,0.0,Vclav Pila,0.0,0.0,Frantiek Rajtoral,0.0,0.0,Jan Rezek,0.0,0.0,Milan Baro,0.0,0.0,Tom Pekhart,0.0,0.0,GANO,1.0,0.0,0.0
6,2012-06-16,Greece,1-0,Mikhlis Sifkis,,0.0,Vaslis Torosdhis,,0.0,Kirikos Papadhpoulos,,0.0,Sokrtis Papastathpoulos,,0.0,Yrghos Dzavlas,,0.0,Kstas Katsournis,,0.0,Yinnis Manitis,,0.0,Yrghos Karangonis C,,0.0,Ghrighris Mkos,,0.0,Dhimtris Salpingdhis,,0.0,Sotris Nnis,,0.0,Theofnis Gkas,,0.0,Yrghos Samars,,0.0,Jos Holebas,0.0,0.0,GANO,1.0,0.0,0.0
7,2012-06-16,Russia,1-0,Vyacheslav Malafeyev,0.0,0.0,Aleksandr Anyukov,0.0,0.0,Marat Izmaylov,0.0,0.0,Aleksey Berezutskiy,0.0,0.0,Sergey Ignashevich,0.0,0.0,Yuriy Zhirkov,0.0,0.0,Roman Shirokov,0.0,0.0,Igor Denisov,0.0,0.0,Denis Glushakov,0.0,0.0,Pavel Pogrebnyak,0.0,0.0,Alan Dzagoyev,1.0,0.0,Aleksandr Kerzhakov,0.0,0.0,Roman Pavlyuchenko,0.0,0.0,Andrey Arshavin,0.0,0.0,PERDIO,0.0,1.0,0.0
8,2012-06-13,Denmark,2-3,Stephan Andersen,0.0,0.0,Lars Jacobsen,0.0,0.0,Simon Kjr,0.0,0.0,Daniel Agger C,0.0,0.0,Simon Poulsen,0.0,0.0,Niki Zimling,0.0,0.0,William Kvist,1.0,0.0,Jakob Poulsen,0.0,0.0,Dennis Rommedahl,0.0,0.0,Tobias Mikkelsen,0.0,0.0,Christian Eriksen,0.0,0.0,Michael Krohndehli,1.0,0.0,Lasse Schne,0.0,0.0,Nicklas Bendtner,0.0,1.0,PERDIO,0.0,1.0,0.0
9,2012-06-13,Germany,1-2,Manuel Neuer,0.0,0.0,Jrme Boateng,1.0,0.0,Mats Hummels,0.0,0.0,Holger Badstuber,0.0,0.0,Philipp Lahm C,0.0,0.0,Sami Khedira,1.0,0.0,Bastian Schweinsteiger,0.0,0.0,Thomas Mller,0.0,0.0,Lars Bender,1.0,0.0,Mesut Zil,0.0,0.0,Toni Kroos,0.0,0.0,Lukas Podolski,1.0,0.0,Mario Gmez,1.0,1.0,Miroslav Klose,0.0,0.0,GANO,1.0,0.0,0.0
