,Word,Freq,Unnamed: 2,Unnamed: 3
20,have*,;4735,,
32,which,;3719,,
42,their,;2608,,
44,would,;2551,,
45,there,;2532,,
61,could,;1683,,
70,about,;1524,,
76,other,;1336,,
80,these,;1254,,
85,first,;1193,,
102,after,;927,,
103,think,;916,,
106,years,;902,,
109,those,;888,,
111,being,;862,,
116,three,;797,,
122,there,;746,,
128,still,;718,,
144,where,;628,,
150,might,;614,,
155,world,;590,,
164,again,;561,,
165,never,;559,,
166,under,;553,,
173,while,;503,,
174,house,;501,,
190,where,;458,,
195,about,;447,,
197,local,;445,,
198,place,;443,,
199,great,;442,,
202,small,;435,,
213,group,;414,,
214,quite,;412,,
217,party,;403,,
218,every,;401,,
220,women,;399,,
231,often,;376,,
233,given,;375,,
236,money,;374,,
240,point,;369,,
241,night,;365,,
242,state,;364,,
247,taken,;355,,
249,right,;354,,
252,thing,;352,,
258,water,;349,,
259,right,;346,,
269,large,;337,,
272,asked,;334,,
285,power,;318,,
287,later,;317,,
290,young,;315,,
310,since,;295,,
311,times,;292,,
316,court,;285,,
321,doing,;279,,
337,A / a,;266,,
339,early,;264,,
341,today,;263,,
368,using,;247,,
375,words,;244,,
377,child,;244,,
381,until,;242,,
386,level,;239,,
388,known,;238,,
390,major,;238,,
393,began,;237,,
400,areas,;234,,
401,after,;233,,
403,woman,;232,,
412,among,;229,,
417,clear,;227,,
418,staff,;226,,
419,black,;225,,
440,whole,;216,,
450,sense,;213,,
452,seems,;212,,
455,third,;211,,
458,white,;206,,
459,death,;205,,
466,shall,;202,,
469,heard,;202,,
471,table,;201,,
478,whose,;198,,
484,order,;197,,
486,range,;196,,
500,study,;192,,
503,trade,;191,,
509,hours,;189,,
512,hands,;188,,
522,based,;186,,
526,leave,;185,,
533,human,;183,,
536,cases,;183,,
544,class,;181,,
551,voice,;179,,
553,since,;178,,
557,B / b,;177,,
560,short,;177,,
565,value,;175,,
570,paper,;173,,
572,seven,;173,,
574,eight,;173,,
579,price,;170,,
586,right,;169,,
592,until,;167,,
593,makes,;166,,
594,union,;166,,
595,terms,;165,,
598,south,;165,,
607,north,;163,,
608,stage,;162,,
615,comes,;160,,
626,David,;157,,
628,as if,;157,,
637,bring,;154,,
642,weeks,;154,,
646,start,;153,,
647,up to,;152,,
654,shown,;150,,
655,music,;150,,
656,month,;150,,
658,tried,;150,,
663,wrong,;149,,
671,issue,;148,,
676,award,;148,,
679,royal,;147,,
682,April,;147,,
689,moved,;146,,
691,light,;145,,
692,March,;145,,
697,basis,;145,,
705,field,;143,,
722,added,;139,,
723,C / c,;138,,
730,means,;138,,
731,round,;138,,
735,heart,;137,,
738,above,;137,,
741,story,;137,,
749,force,;136,,
756,board,;134,,
769,stood,;133,,
776,books,;131,,
780,legal,;131,,
785,model,;130,,
801,built,;129,,
802,final,;129,,
813,close,;126,,
818,space,;125,,
826,Peter,;124,,
827,along,;123,,
841,total,;122,,
842,thank,;122,,
845,prime,;121,,
854,costs,;120,,
860,a bit,;119,,
866,takes,;118,,
869,happy,;117,,
874,parts,;116,,
879,spent,;116,,
884,floor,;115,,
885,round,;115,,
892,allow,;115,,
893,rates,;115,,
896,sorry,;114,,
898,hotel,;114,,
909,meant,;113,,
924,lower,;111,,
927,ideas,;111,,
944,basic,;109,,
945,write,;109,,
954,aware,;108,,
960,style,;107,,
982,rules,;105,,
988,needs,;105,,
990,maybe,;105,,
994,gives,;104,,
998,sales,;104,,
1003,event,;104,,
1018,sound,;102,,
1019,ready,;102,,
1020,lines,;102,,
1022,looks,;102,,
1023,James,;102,,
1025,worth,;102,,
1028,press,;102,,
1031,blood,;101,,
1032,goods,;101,,
1034,carry,;101,,
1054,wrote,;99,,
1056,green,;99,,
1063,shows,;99,,
1064,offer,;99,,
1069,forms,;98,,
1073,miles,;98,,
1082,needs,;97,,
1083,plans,;97,,
1084,earth,;97,,
1086,title,;97,,
1094,girls,;96,,
1102,means,;96,,
1106,glass,;95,,
1112,heavy,;94,,
1117,speak,;94,,
1119,up to,;94,,
1120,river,;94,,
1124,above,;94,,
1128,mouth,;93,,
1132,Wales,;93,,
1135,piece,;92,,
1142,on to,;92,,
1144,stand,;92,,
1146,extra,;92,,
1154,whole,;91,,
1161,miss*,;91,,
1173,older,;90,,
1177,fully,;89,,
1184,peace,;89,,
1189,wants,;89,,
1191,types,;89,,
1201,below,;88,,
1216,radio,;87,,
1227,civil,;87,,
1243,I / i,;86,,
1245,fifty,;86,,
1257,other,;85,,
1258,start,;85,,
1262,let's,;84,,
1265,knows,;84,,
1273,trees,;83,,
1282,learn,;83,,
1286,truth,;83,,
1289,works,;82,,
1291,lived,;82,,
1297,share,;82,,
1300,agree,;82,,
1321,front,;81,,
1330,media,;80,,
1331,avoid,;80,,
1337,stone,;79,,
1339,apply,;79,,
1348,P / p,;79,,
1357,Smith,;79,,
1363,lives,;78,,
1376,later,;78,,
1381,chair,;77,,
1383,horse,;77,,
1388,queen,;77,,
1398,names,;76,,
1402,cells,;76,,
1405,early,;76,,
1408,visit,;76,,
1410,stock,;76,,
1422,chief,;75,,
1423,drawn,;75,,
1424,firms,;75,,
1432,begin,;75,,
1436,image,;75,,
1446,views,;74,,
1447,scale,;74,,
1448,plant,;74,,
1453,Henry,;74,,
1454,spend,;74,,
1455,voice,;74,,
1456,alone,;74,,
1460,trust,;74,,
1472,S / s,;73,,
1475,as to,;73,,
1482,ended,;73,,
1487,cause,;72,,
1502,crime,;72,,
1503,D / d,;71,,
1519,units,;71,,
1530,speed,;70,,
1533,along,;70,,
1535,spoke,;70,,
1547,stuff,;69,,
1550,front,;69,,
1556,match,;69,,
1566,build,;68,,
1567,reach,;68,,
1573,fresh,;68,,
1575,scene,;68,,
1588,items,;67,,
1600,phone,;67,,
1604,E / e,;67,,
1606,steps,;67,,
1608,South,;67,,
1611,watch,;67,,
1621,forty,;66,,
1626,sight,;66,,
1630,banks,;66,,
1634,claim,;66,,
1636,enjoy,;66,,
1649,users,;65,,
1654,Japan,;65,,
1659,video,;65,,
1660,worse,;65,,
1663,train,;65,,
1667,trial,;65,,
1670,joint,;64,,
1671,doubt,;64,,
1686,cover,;64,,
1687,usual,;64,,
1689,smile,;64,,
1697,sides,;63,,
1706,while,;63,,
1707,works,;63,,
1713,ahead,;63,,
1714,rural,;63,,
1717,twice,;63,,
1720,games,;62,,
1721,funds,;62,,
1724,shape,;62,,
1735,light,;62,,
1737,quiet,;62,,
1751,pound,;61,,
1753,raise,;61,,
1757,Paris,;61,,
1762,ought,;61,,
1765,noted,;61,,
1766,equal,;61,,
1770,homes,;61,,
1780,walls,;60,,
1781,talks,;60,,
1788,offer,;60,,
1799,X / x,;59,,
1815,T / t,;59,,
1818,Irish,;59,,
1839,cause,;58,,
1840,break,;58,,
1855,sites,;58,,
1857,quick,;58,,
1865,prove,;57,,
1876,notes,;57,,
1877,track,;57,,
1895,birds,;57,,
1907,route,;56,,
1909,liked,;56,,
1917,occur,;56,,
1927,under,;56,,
1938,rooms,;55,,
1941,Jesus,;55,,
1943,daily,;55,,
1944,below,;55,,
1965,exist,;54,,
1966,check,;54,,
1967,alone,;54,,
1979,urban,;54,,
1984,youth,;54,,
1995,empty,;54,,
2003,lunch,;54,,
2007,upper,;54,,
2009,share,;54,,
2012,North,;54,,
2017,drugs,;53,,
2020,I / i,;53,,
2026,serve,;53,,
2035,R / r,;53,,
2041,enter,;53,,
2047,waste,;53,,
2048,facts,;53,,
2051,shook,;53,,
2057,faith,;52,,
2058,shops,;52,,
2062,moral,;52,,
2066,heads,;52,,
2072,birth,;52,,
2077,broke,;52,,
2086,entry,;52,,
2091,crown,;51,,
2106,vital,;51,,
2109,hoped,;51,,
2110,Italy,;51,,
2120,total,;51,,
2130,visit,;50,,
2131,V / v,;50,,
2148,tests,;50,,
2149,owner,;50,,
2174,wider,;49,,
2178,broad,;49,,
2189,drink,;49,,
2195,clean,;48,,
2199,Leeds,;48,,
2212,doors,;48,,
2221,hence,;48,,
2235,teeth,;47,,
2236,brain,;47,,
2238,brief,;47,,
2239,signs,;47,,
2242,cover,;47,,
2245,claim,;47,,
2249,goals,;47,,
2251,India,;47,,
2254,guide,;47,,
2255,drive,;47,,
2259,ideal,;47,,
2265,bound,;47,,
2268,kinds,;47,,
2270,worry,;47,,
2271,minor,;47,,
2272,seats,;47,,
2281,noise,;47,,
2288,M / m,;46,,
2295,thick,;46,,
2296,Jones,;46,,
2297,loved,;46,,
2298,metal,;46,,
2299,grand,;46,,
2302,phase,;46,,
2303,coast,;46,,
2305,China,;46,,
2314,lying,;46,,
2319,Harry,;46,,
2334,worst,;46,,
2344,H / h,;45,,
2345,adult,;45,,
2348,faced,;45,,
2352,index,;45,,
2355,O / o,;45,,
2363,sport,;45,,
2371,judge,;45,,
2374,brown,;45,,
2375,Brian,;45,,
2377,funny,;45,,
2388,inner,;45,,
2393,Chris,;45,,
2396,Spain,;45,,
2400,least,;45,,
2409,pages,;44,,
2414,sharp,;44,,
2417,drive,;44,,
